epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,379.42,0.68379,0.54443,1.14502,0.79265,0.78571,0.8643,0.5648,1.39409,0.98034,1.81527,0.000643795,0.000643795,0.000643795
95,382.501,0.65398,0.55735,1.18212,0.90164,0.65573,0.8847,0.59196,1.28599,1.01619,1.71392,0.000632793,0.000632793,0.000632793
96,385.848,0.74081,0.64365,1.22357,1,0.76183,0.93278,0.63522,1.26947,0.90382,1.7223,0.000621791,0.000621791,0.000621791
97,392.37,0.58817,0.54591,1.14424,0.90519,0.85714,0.95695,0.66461,1.16864,0.86029,1.66392,0.000610789,0.000610789,0.000610789
98,398.497,0.73067,0.62657,1.11253,0.99955,0.92857,0.97944,0.67851,1.13829,0.88062,1.62357,0.000599787,0.000599787,0.000599787
99,403.955,0.66401,0.56765,1.20976,1,0.90089,0.97658,0.66902,1.24053,0.87928,1.69673,0.000588784,0.000588784,0.000588784
100,407.266,0.65905,0.58653,1.1934,0.97243,0.85714,0.96011,0.6647,1.32251,0.88394,1.7574,0.000577782,0.000577782,0.000577782
101,410.341,0.78484,0.59083,1.27427,0.79084,0.92857,0.95033,0.62423,1.38148,0.83014,1.78085,0.00056678,0.00056678,0.00056678
102,415.772,0.66364,0.61335,1.1551,0.9214,0.83846,0.94739,0.62118,1.25088,0.8079,1.56484,0.000555778,0.000555778,0.000555778
103,418.865,0.61622,0.52573,1.09604,0.84935,0.92857,0.96254,0.61158,1.26296,0.79296,1.57647,0.000544776,0.000544776,0.000544776
104,424.767,0.6742,0.55118,1.15942,0.92419,1,0.97633,0.59077,1.3078,0.76338,1.65565,0.000533773,0.000533773,0.000533773
105,428.496,0.68564,0.54197,1.18075,0.92291,1,0.97633,0.58656,1.34528,0.76711,1.73002,0.000522771,0.000522771,0.000522771
106,434.863,0.6608,0.55841,1.1299,0.92611,1,0.97633,0.58489,1.36962,0.7543,1.79199,0.000511769,0.000511769,0.000511769
107,438.118,0.68927,0.6829,1.13232,0.86891,1,0.97125,0.59215,1.35542,0.73292,1.81614,0.000500767,0.000500767,0.000500767
108,441.295,0.74957,0.60109,1.21184,0.86883,1,0.97212,0.61487,1.32106,0.71393,1.80487,0.000489765,0.000489765,0.000489765
109,446.383,0.72696,0.61101,1.1628,0.86953,1,0.98125,0.60804,1.31282,0.6742,1.78616,0.000478762,0.000478762,0.000478762
110,449.484,0.72445,0.50524,1.15645,0.87226,1,0.98567,0.59066,1.32257,0.68675,1.78179,0.00046776,0.00046776,0.00046776
111,452.522,0.54233,0.46393,1.06414,0.93252,1,0.98567,0.58278,1.3548,0.7172,1.81316,0.000456758,0.000456758,0.000456758
112,457.816,0.59395,0.54714,1.11918,0.92353,0.92857,0.98125,0.56311,1.40339,0.74482,1.87159,0.000445756,0.000445756,0.000445756
113,460.871,0.68881,0.6561,1.13874,0.93278,0.99171,0.98567,0.57255,1.4497,0.752,1.88284,0.000434754,0.000434754,0.000434754
114,463.962,0.71286,0.61188,1.1204,0.9281,0.92246,0.97765,0.60187,1.41369,0.72121,1.79581,0.000423751,0.000423751,0.000423751
115,470.17,0.68068,0.51157,1.17427,0.92856,0.92839,0.97265,0.61837,1.36607,0.71199,1.72337,0.000412749,0.000412749,0.000412749
